company,ceo2015,ceo_comp,id,median_comp,overall_2014,ratio,size,profits
Cigna,David M. Cordani,14461445,119,66365,3.3,218,39300,2094
Cintas,Scott D. Farmer,4700884,1256,52222,3.3,90,32000,431
Cisco Systems,John T. Chambers,16488184,1425,138861,3.7,119,70000,8981
Citi,Michael L. Corbat,14457199,8843,99666,3.3,145,225000,17242
Citrix Systems,Mark B. Templeton,7883614,5432,113997,3.6,69,9500,319
Clorox,Donald R. Knauss,8949886,158,110064,3.8,81,7700,580
CME Group,Phupinder S. Gill,5368575,7796,105163,3.5,51,2530,1247
Coach,Victor Luis,6679113,12070,34771,3.6,192,15800,402
Coca-Cola Company,Muhtar Kent,25224422,161,54804,3.3,460,123200,7351
"Coca-Cola Enterprises, Inc.","John Franklin Brock, III",11267498,36955,49008,3.1,230,123200,7351
Cognizant Technology Solutions,Frank D'Souza,11333063,8014,85000,3.5,133,221700,1624
Colgate-Palmolive,Ian Cook,14531582,162,105472,3.8,138,37900,1384
Comcast,Brian L. Roberts,32961056,1280,59745,3.2,552,153000,8163
Comerica,"Ralph W. Babb, Jr.",11311926,1281,51025,3.3,222,8533,521
Computer Sciences Corp,J. Michael Lawrie,13267195,169,87476,2.6,152,59000,251
Con Edison,John McAvoy,9685688,174,97700,2.9,99,14806,1193
ConAgra Foods,Gary Rodkin,9130934,172,73579,3,124,32900,-253
ConocoPhillips,R.M. Lance,27575900,14933,103296,3.8,267,15600,-4428
CONSOL Energy,Nicholas J. DeIuliis,8326097,2751,78004,2.5,107,3114,-375
Constellation Brands,Robert Sands,10410261,805,100530,3.6,104,9000,1055
Corning,Wendell P. Weeks,13034461,183,85882,3.8,152,35700,1339
Costco Wholesale,W. Craig Jelinek,5622927,2590,30555,3.9,184,117000,2377
Crown Castle,W. Benjamin Moreland,8412742,8416,68397,4.1,123,2700,1521
CSX,Michael J. Ward,10068089,124,66161,3.5,152,29000,1968
Cummins,N. T. Linebarger,14784555,187,79442,3.9,186,55200,1399
CVS Health,Larry J. Merlo,32350733,437,27139,2.7,1192,155000,5237
D.R. Horton,Donald J. Tomnitz,9306748,2195,58000,2.8,160,6230,751
Danaher,"H. Lawrence Culp, Jr.",13704222,193,86898,2.9,158,81000,3357
Darden,"Clarence Otis, Jr.",6980147,4160,38360,3.5,182,148892,710
DaVita,Kent J. Thiry,13791023,5367,61000,3.1,226,60400,270
Delphi,Rodney O'Neal,14874930,8611,91618,3.3,162,139000,1450
Delta Air Lines,Richard H. Anderson,17589867,197,54804,4,321,83817,4526
DENTSPLY International,Bret W. Wise,6052469,1438,83722,2.7,72,11400,251
Devon Energy,John Richels,21611030,839,82905,3.8,261,6600,-14454
Discover,David W. Nelms,8671740,13990,77596,3.7,112,15036,2297
Discovery Communications,David M. Zaslav,156077912,4220,80000,3.8,1951,7000,1034
Dollar General,"Richard W. Dreiling,",9764152,1342,32683,2.8,299,113400,295
Dollar Tree,Bob Sasser,7814488,4033,22890,2.8,341,55300,282
Dominion Resources,"Thomas F. Farrell, II",20612945,204,85943,3.8,240,14700,1899
Dow Chemical,Andrew Liveris,19507233,207,96614,3.7,202,49495,7685
Dr Pepper Snapple Group,Larry D. Young,9671181,13335,50867,3.1,190,19000,764
DTE Energy,Gerard M. Anderson,12604355,199,80103,3.9,157,10000,727
Duke Energy,Lynn J. Good,8305351,211,78259,3.6,106,29188,2816
Dun & Bradstreet,Robert P. Carrigan,4198663,213,114440,3.4,37,5000,169
DuPont,Ellen J. Kullman,14330612,215,86949,3.5,165,52000,1953
E*TRADE Financial,Paul T. Idzik,5258458,6005,70561,2.9,75,3400,268
Eastman Chemical,Mark J. Costa,7851406,2452,83722,4.5,94,15000,848
Eaton,Alexander M. Cutler,16747752,221,80331,3.5,208,,
eBay,"John J. Donahoe, II",14050057,7853,132220,3.6,106,11600,1725
Ecolab,"Douglas M. Baker, Jr.",15456822,222,62208,3.3,248,47000,1002
Edwards Lifesciences,Michael A. Mussallem,8616570,11809,95528,3.1,90,9800,495
Electronic Arts,ANDREW WILSON,13975381,1628,100937,3.6,138,8500,1156
Eli Lilly,"John C. Lechleiter, Ph.D.",14481142,223,104142,3.8,139,41275,440
EMC,Joseph M. Tucci,11203318,219,116674,3.7,96,72000,1990
Emerson,David N. Farr,9509258,225,79211,3.5,120,110800,2710
Endo Pharmaceuticals,Rajiv De Silva,22071596,11705,115588,2.8,191,,
Entergy,Leo P. Denault,11824034,231,77991,3.2,152,13579,-157
EOG,William R. Thomas,10548457,1467,95924,3.7,110,2760,4525
Equifax,Richard F. Smith,13879675,232,90324,3.5,154,8000,429
Equinix,Stephen Smith,11513031,11296,145084,3.6,79,5042,188
