ceo2016,srleadership,company_ratings,error,comp,ceoratings,numberOfRatings,culturevalues,ceopctApprove,id,overall,industry,careerops,rectofriend,wlb
Seifi Ghasemi,2.8,Air Products,None,3.6,104,442,3.2,47,17,3.4,Chemical Manufacturing,3.1,54,3.6
Pascal Vinet,2.3,Airgas,None,3.1,5,405,2.6,51,18,2.9,Oil & Gas Services,2.7,45,2.9
Tom Leighton,3.6,Akamai,None,4,445,744,4,95,9219,4,IT Services,3.6,81,3.9
Klaus Kleinfeld,2.4,Alcoa,None,3.6,238,529,3,54,29,3.1,Metal & Mineral Manufacturing,2.9,47,3
Brenton Saunders,2.9,Allergan,None,3.6,69,588,3.2,71,27,3.5,Biotech & Pharmaceuticals,3.1,66,3.3
Ed Heffernan,3.4,Alliance Data,None,3.9,189,329,3.8,96,11421,3.6,Advertising & Marketing,3.5,70,3.6
Thomas J. Wilson II,3,Allstate,None,3.2,1167,2778,3.5,73,2341,3.4,Insurance Carriers,3.2,63,3.5
John P. Daane,3.1,Altera,None,3.6,241,438,3.5,73,1112,3.4,Electrical & Electronic Manufacturing,3.3,67,3.5
Martin J. Barrington,3.5,Altria,None,4.5,257,588,3.8,92,528,3.8,Consumer Products Manufacturing,3.4,74,3.9
Jeff Bezos,3,Amazon.com,None,3.6,5836,10789,3.3,81,6036,3.5,General Merchandise & Superstores,3.5,65,2.8
Warner L. Baxter,3.5,Ameren,None,4.4,50,121,3.7,79,690,3.8,Utilities,3.6,82,4
Doug Parker,2.9,American Airlines,None,3.3,409,1508,3.3,68,8,3.6,Airlines,3.5,72,3.3
Ken Chenault,3.2,American Express,None,3.6,2633,4220,3.7,84,35,3.6,Financial Transaction Processing,3.3,74,3.8
Jim Taiclet Jr.,2.8,American Tower,None,3.4,119,233,3.1,92,8043,3.2,Telecommunications Services,2.8,53,3.2
Jim Cracchiolo,3.3,Ameriprise,None,3.3,548,1061,3.6,85,15316,3.5,Investment Banking & Asset Management,3.3,71,3.5
Steven Collis,2.7,AmerisourceBergen,None,3.6,213,538,3.2,72,2703,3.2,Biotech & Pharmaceuticals,3,60,3.1
David A. Zapico,2.2,AMETEK,None,3.3,7,119,2.5,43,7,2.7,Electrical & Electronic Manufacturing,2.4,38,2.8
Robert A. Bradway,2.8,Amgen,None,3.9,439,1241,3.3,59,1130,3.5,Biotech & Pharmaceuticals,3,64,3.4
R. A. Walker,3.4,Anadarko Petroleum,None,4.5,127,265,3.7,77,48,3.9,Oil & Gas Exploration & Production,3.3,74,4.1
Vincent Roche,3.3,Analog Devices,None,3.4,105,440,3.8,86,49,3.7,Electrical & Electronic Manufacturing,3.4,85,4.1
Joseph R. Swedish,2.7,Anthem,None,3.5,228,519,3.2,73,925157,3.3,Insurance Carriers,3,60,3.2
Greg Case,3.1,Aon,None,3.2,464,1061,3.4,85,53,3.4,Insurance Agencies & Brokerages,3.2,66,3.4
"John J. Christmann, IV",3.2,Apache,None,4,18,128,3.4,87,54,3.6,Oil & Gas Exploration & Production,3.3,74,3.6
Tim Cook,3.5,Apple,None,4.1,5216,8871,4.1,95,1138,4,Computer Hardware & Software,3.4,80,3.3
Gary Dickerson,3,Applied Materials,None,3.6,210,981,3.5,83,1139,3.5,Electrical & Electronic Manufacturing,3.2,73,3.3
Alan Colberg,2.8,Assurant,None,3.2,75,458,3.2,84,13793,3.3,Insurance Carriers,2.9,55,3.2
Randall L. Stephenson,2.9,AT&T,None,3.8,5912,13225,3.2,72,613,3.4,Telecommunications Services,3.2,62,2.9
Carl Bass,3.4,Autodesk,None,4,633,1121,4,90,1155,3.9,Computer Hardware & Software,3.4,80,4
Mike Jackson,2.5,AutoNation,None,2.6,292,573,2.6,58,2593,2.7,Vehicle Dealers,2.7,39,2.3
Bill Rhodes III,2.6,AutoZone,None,2.7,779,1589,3.2,69,610,3.1,Automotive Parts & Accessories Stores,2.9,51,2.7
Hock E. Tan,2.5,Avago Technologies,None,3.5,136,254,2.5,53,40386,2.9,Electrical & Electronic Manufacturing,2.7,48,2.8
Timothy J. Naughton,3.4,AvalonBay,None,3.4,133,241,3.9,86,2616,3.8,Real Estate,3.6,76,3.7
Mitchell Butier,2.7,Avery Dennison,None,3.6,9,503,3.3,64,65,3.4,Chemical Manufacturing,3.2,59,3
Martin Craighead,2.7,Baker Hughes,None,3.8,709,1784,3.4,58,72,3.5,Oil & Gas Services,3.2,62,3.1
Brian T. Moynihan,2.9,Bank of America,None,3.6,5749,14376,3.3,75,8874,3.4,Banks & Credit Unions,3.3,63,3.3
Timothy M. Ring,2.8,Bard,None,3.5,37,113,3.1,84,116,3.2,Health Care Products Manufacturing,3,55,3.2
Jos̩ (Joe) Almeida,2.8,Baxter,None,3.5,86,1141,3.3,81,83,3.3,Biotech & Pharmaceuticals,3.1,64,3.3
Kelly S. King,3,BB&T,None,3.6,626,1091,3.7,85,1893,3.3,Investment Banking & Asset Management,3,66,3.4
Vincent A. Forlenza,3,BD,None,3.4,255,867,3.6,79,88,3.3,Health Care Products Manufacturing,3.1,66,3.2
Steve Temares,2.6,Bed Bath & Beyond,None,2.7,669,1964,3,49,1961,3,Home Furniture & Housewares Stores,2.6,46,2.8
Hubert Joly,3.2,Best Buy,None,3.3,4752,12390,3.7,86,97,3.6,Consumer Electronics & Appliances Stores,3.3,76,3.3
George A. Scangos,2.8,Biogen,None,4.1,299,617,3.5,82,1336,3.4,Biotech & Pharmaceuticals,3,63,3.4
Laurence D. Fink,3.5,BlackRock,None,3.3,805,1305,3.8,89,9331,3.6,Investment Banking & Asset Management,3.5,75,3.4
Gerald Hassell,2.6,BNY Mellon,None,2.8,910,2688,3,64,78,3,Investment Banking & Asset Management,2.7,54,3.5
Dennis A. Muilenburg,2.8,Boeing,None,3.9,722,4726,3.2,85,102,3.5,Aerospace & Defense,3.3,69,3.7
James R. Verrier,3.3,BorgWarner,None,3.6,45,213,3.6,83,1652,3.7,Transportation Equipment Manufacturing,3.3,77,3.4
Michael F. Mahoney,3.4,Boston Scientific,None,3.8,293,883,3.7,96,2187,3.8,Health Care Products Manufacturing,3.4,77,3.5
Giovanni Caforio,3.3,Bristol-Myers Squibb,None,3.8,171,970,3.8,83,107,3.8,Biotech & Pharmaceuticals,3.4,82,3.6
Scott McGregor,2.9,Broadcom,None,3.7,782,1751,3.2,52,6926,3.5,Electrical & Electronic Manufacturing,3.2,64,3.4
Paul C. Varga,3.8,Brown-Forman,None,4.2,77,141,4.2,96,797,4.1,Food & Beverage Manufacturing,3.3,83,3.9
John P. Wiehoff,2.9,C.H. Robinson,None,3,387,779,3.3,84,7124,3.2,Logistics & Supply Chain,2.9,56,2.9
Michael P. Gregoire,2.7,CA Technologies,None,3.7,747,1935,3.3,73,167,3.2,Computer Hardware & Software,3,55,3.7
Dexter Goei,2.6,Cablevision Systems,None,3.8,21,771,3,66,802,3.2,"Cable, Internet & Telephone Providers",2.8,57,3
Scott Rowe,2.9,Cameron,None,3.6,58,573,3.5,83,4403,3.5,Oil & Gas Services,3.2,73,3.3
Denise Morrison,3.3,Campbell Soup Company,None,3.9,142,307,3.6,77,129,3.5,Food & Beverage Manufacturing,3.4,76,3.6
Richard D. Fairbank,3.3,Capital One,None,3.9,2049,3988,4,92,3736,3.8,Banks & Credit Unions,3.5,76,3.9
George S. Barrett,3.2,Cardinal Health,None,3.4,533,1115,3.6,90,1227,3.5,Wholesale,3.3,69,3.4
Bill Nash,3.2,CarMax,None,3.3,4,1644,3.8,100,6561,3.5,Vehicle Dealers,3.5,72,3.2
Micky Arison,3,Carnival,None,3.1,110,437,3.5,87,806,3.4,Transportation Management,3.1,67,3
Douglas R. Oberhelman,2.6,Caterpillar,None,3.7,1049,2152,3.3,36,137,3.3,Industrial Manufacturing,3.1,54,3.5
Robert E. Sulentic,3.4,CBRE,None,3.3,483,1568,3.7,94,465818,3.7,Real Estate,3.6,75,3.5
Les Moonves,3,CBS Corp,None,3.3,40,90,3.3,90,1053,3.3,Motion Picture Production & Distribution,2.8,58,3.3
Mark J. Alles,2.9,Celgene,None,4,18,216,3.3,88,1235,3.4,Biotech & Pharmaceuticals,3,75,3.3
Scott M. Prochazka,3.4,CenterPoint Energy,None,3.8,30,173,3.9,97,338,4,Energy,3.4,88,3.8
"Glen F. Post, III",2.5,CenturyLink,None,3.2,763,2014,3,60,248324,3,"Cable, Internet & Telephone Providers",2.8,51,3.2
Neal L. Patterson,3.2,Cerner,None,3.2,973,1822,3.5,84,1242,3.5,Computer Hardware & Software,3.5,70,3.1
Walt Bettinger II,3.2,Charles Schwab,None,3.3,870,1540,3.8,87,144,3.5,Investment Banking & Asset Management,3.3,65,3.7
Robert D. Lawler,3.2,Chesapeake Energy,None,4.4,121,278,3.5,77,906,3.7,Oil & Gas Exploration & Production,3.3,69,3.8
John S. Watson,3.3,Chevron,None,4.1,763,1675,3.9,85,13524,3.9,Oil & Gas Exploration & Production,3.6,83,4
Steve  Ells & Montgomery  F. Moran,3.1,Chipotle,None,3.4,1390,2681,4,87,15228,3.4,Casual Restaurants,3.7,62,2.9
John D. Finnegan,3,Chubb,None,3.4,213,494,3.3,39,150,3.4,Insurance Carriers,3,59,3.5
David Cordani,3.1,Cigna,None,3.4,609,1293,3.5,88,119,3.5,Insurance Carriers,3.3,68,3.5
Scott D. Farmer,2.9,Cintas,None,3.5,776,1489,3.4,80,1256,3.3,Building & Personnel Services,3.3,60,3
Chuck Robbins,3.2,Cisco Systems,None,3.8,1548,10568,3.8,88,1425,3.8,Computer Hardware & Software,3.5,77,3.9
Michael Corbat,3,Citi,None,3.3,1709,6100,3.3,85,8843,3.4,Investment Banking & Asset Management,3.3,68,3.3
Kirill Tatarinov,3,Citrix,None,3.7,102,1794,3.7,88,5432,3.5,Computer Hardware & Software,3.2,67,3.8
Benno Dorer,3.9,Clorox,None,3.7,155,546,4.3,98,158,4.1,Consumer Products Manufacturing,3.7,86,4.3
Phupinder Gill,3,CME Group,None,3.7,175,447,3.2,79,7796,3.5,Brokerage Services,3.2,57,3.6
Victor Luis,3,Coach,None,3.5,248,1071,3.5,83,12070,3.5,Other Retail Stores,3,67,3.2
Muhtar Kent,2.8,Coca-Cola Company,None,3.5,1054,3127,3.3,71,161,3.4,Food & Beverage Manufacturing,3.1,64,3.1
John F. Brock,2.7,"Coca-Cola Enterprises, Inc.",None,3.4,75,346,3.2,63,36955,3.3,Wholesale,3,54,3
Frank D'Souza,3,Cognizant Technology Solutions,None,3.2,8299,13917,3.6,94,8014,3.6,IT Services,3.5,79,3.4
Ian M. Cook,3.5,Colgate-Palmolive,None,3.8,320,600,4,92,162,3.8,Consumer Products Manufacturing,3.5,84,3.8
Brian L. Roberts,3,Comcast,None,3.7,2465,5207,3.3,80,1280,3.4,"Cable, Internet & Telephone Providers",3.4,66,3.3
Ralph W. Babb Jr.,2.8,Comerica,None,3.3,184,494,3.3,56,1281,3.3,Investment Banking & Asset Management,3,60,3.8
Mike Lawrie,2.2,CSC,None,2.6,2019,5413,2.6,39,169,2.7,IT Services,2.5,38,3.1
John McAvoy,3.2,Con Edison,None,3.8,21,69,3.1,87,174,3.5,Energy,3.8,64,3.2
Sean Connolly,2.4,ConAgra Foods,None,3.4,188,796,2.7,34,172,2.9,Food & Beverage Manufacturing,2.8,40,3.2
Ryan M. Lance,3,ConocoPhillips,None,4.2,259,723,3.6,68,14933,3.6,Oil & Gas Exploration & Production,3.2,71,3.8
Nicholas J. DeIuliis,2.4,CONSOL Energy,None,3.3,45,133,2.8,33,2751,2.9,Energy,2.2,36,3
Rob Sands,3.2,Constellation Brands,None,3.8,63,131,3.5,79,805,3.4,Food & Beverage Manufacturing,2.9,64,3.3
Wendell P. Weeks,3.3,Corning,None,3.7,238,453,3.8,83,183,3.7,Electrical & Electronic Manufacturing,3.5,77,3.5
Craig Jelinek,3.4,Costco Wholesale,None,4.2,1446,3201,3.9,90,2590,4,General Merchandise & Superstores,3.7,81,3.5
Jay Brown,3.7,Crown Castle,None,3.9,10,179,4,88,8416,3.9,Telecommunications Services,3.3,86,3.8
Michael J. Ward,2.7,CSX,None,4.1,209,422,2.9,68,124,3.2,Transportation Management,3.1,58,2.3
Tom Linebarger,3.4,Cummins,None,3.5,813,1552,4.1,84,187,3.7,Transportation Equipment Manufacturing,3.7,79,3.9
Larry J. Merlo,2.4,CVS Health,None,2.7,3092,8894,2.7,38,437,2.7,Health Care Services & Hospitals,2.8,36,2.5
David V. Auld,2.8,D.R. Horton,None,3.3,32,172,2.9,93,2195,3.2,Construction,3,56,3
"Thomas P. Joyce, Jr.",2.8,Danaher,None,3.4,31,226,3,84,193,3.2,Electrical & Electronic Manufacturing,3.3,53,2.8
Gene Lee,3.1,Darden,None,3.2,117,1233,3.5,71,4160,3.6,Casual Restaurants,3.2,70,3.3
Kent J. Thiry,2.9,DaVita,None,3,777,1436,3.7,78,5367,3.3,Health Care Services & Hospitals,3.3,60,3.1
Kevin P. Clark,2.9,Delphi,None,3.4,72,640,3.2,67,8611,3.4,Transportation Equipment Manufacturing,3.2,66,3.5
Ed Bastian,3.6,Delta Air Lines,None,4,124,1478,4.1,94,197,4.2,Airlines,3.8,86,3.7
Jeffrey T. Slovin,3.1,Dentsply Sirona,None,3.6,18,217,3.3,86,1438,3.5,Health Care Products Manufacturing,3.3,74,3.5
John Richels,3.5,Devon Energy,None,4.6,155,269,3.9,87,839,3.9,Oil & Gas Exploration & Production,3.5,77,4.2
David W. Nelms,3.4,Discover,None,3.6,586,1192,3.9,93,13990,3.7,Lending,3.5,76,3.8
David M. Zaslav,3,Discovery Communications,None,3.6,328,638,3.7,61,4220,3.5,TV Broadcast & Cable Networks,3.1,65,3.6
Todd Vasos,2.4,Dollar General,None,2.5,600,3313,2.6,48,1342,2.7,Other Retail Stores,3,39,2.3
Bob Sasser,2.4,Dollar Tree,None,2.2,663,1788,2.5,44,4033,2.8,,2.7,42,2.6
Thomas F. Farrell II,3.6,Dominion Resources,None,4,77,133,3.8,78,204,3.7,Energy,3.6,90,3.9
Andrew N. Liveris,3.1,Dow Chemical,None,3.7,555,1084,3.6,53,207,3.7,Chemical Manufacturing,3.5,74,3.5
Larry D. Young,2.6,Dr Pepper Snapple Group,None,3.1,186,449,2.8,68,13335,3.1,Food & Beverage Manufacturing,2.9,50,2.8
Gerard M. Anderson,3.4,DTE Energy,None,4.1,132,262,3.7,93,199,3.8,Utilities,3.5,76,3.8
Lynn J. Good,3,Duke Energy,None,3.8,169,499,3.4,83,211,3.5,Energy,3.4,72,3.5
Robert Carrigan,2.9,Dun & Bradstreet,None,3.3,166,631,3.2,74,213,3.1,Financial Analytics & Research,2.8,46,3.6
Edward D. Breen,2.4,DuPont,None,3.5,156,1112,3.5,16,215,3.2,Chemical Manufacturing,2.8,43,3.6
Paul T. Idzik,2.6,E*TRADE Financial,None,3.2,192,587,2.8,67,6005,3,Brokerage Services,2.7,46,3.1
Mark J. Costa,3.8,Eastman,None,3.9,518,1241,4.2,87,2452,4.1,Chemical Manufacturing,3.9,85,4
Craig Arnold,2.9,Eaton,None,3.5,25,1169,3.5,83,221,3.4,Electrical & Electronic Manufacturing,3.3,70,3.4
Devin Wenig,3,eBay,None,3.9,240,1976,3.7,83,7853,3.6,Internet,3.3,73,3.8
Doug Baker Jr.,2.9,Ecolab,None,3.3,475,830,3.3,78,222,3.2,Chemical Manufacturing,3.1,59,2.7
Michael A. Mussallem,2.9,Edwards Lifesciences,None,3.7,172,278,3.4,98,11809,3.6,Health Care Products Manufacturing,3.2,69,2.9
Andrew Wilson,3.4,Electronic Arts,None,3.7,355,1436,3.8,95,1628,3.9,Video Games,3.4,83,3.7
John C. Lechleiter,3.5,Eli Lilly,None,3.9,574,980,4,86,223,3.9,Biotech & Pharmaceuticals,3.5,83,4
Michael Dell,3.3,EMC,None,3.7,24,4137,3.7,87,219,3.8,IT Services,3.4,77,3.7
David N. Farr,3.1,Emerson,None,3.2,410,1641,3.5,83,225,3.5,Electrical & Electronic Manufacturing,3.2,70,3.6
Paul Campanelli,2.1,Endo Pharmaceuticals,None,3.6,0,101,2.2,0,11705,2.6,Biotech & Pharmaceuticals,2.2,41,2.8
Leo Denault,2.9,Entergy,None,3.7,22,110,3.5,69,231,3.8,Energy,3.3,74,3.5
William R. Thomas,3.6,EOG,None,3.7,22,91,3.7,89,1467,3.6,Oil & Gas Exploration & Production,3.1,67,3.6
Rick Smith,3.1,Equifax,None,3.2,282,540,3.2,90,232,3.3,Financial Analytics & Research,3.1,63,3.6
Stephen M. Smith,3.8,Equinix,None,4.1,177,261,3.9,96,11296,4,Enterprise Software & Network Solutions,3.6,80,3.5
David J. Neithercut,3.3,Equity Residential,None,3.7,199,324,3.8,85,3635,3.7,Real Estate,3.7,73,3.3
Michael Schall,2.7,Essex Property Trust,None,2.6,48,113,2.6,63,3630,2.5,Real Estate,3,44,2.7
Fabrizio Freda,3.2,Est̩e Lauder Companies,None,3.5,357,739,3.8,94,2785,3.7,Consumer Products Manufacturing,3.2,73,3.4
Christopher M. Crane,3.7,Exelon,None,4.2,163,419,3.9,87,526,3.9,Energy,3.9,79,3.6
Dara Khosrowshahi,3.6,Expedia,None,3.9,1189,1840,4,97,9876,3.9,Internet,3.7,79,4.1
Jeffrey S. Musser,3,Expeditors,None,3.1,136,580,3.4,91,1381,3.3,Logistics & Supply Chain,3.3,57,3
Tim Wentworth,2.6,Express Scripts,None,3.2,142,1879,2.7,81,2212,2.8,Health Care Services & Hospitals,2.8,45,2.7
Rex W. Tillerson,3.3,ExxonMobil,None,4.1,552,1574,3.6,87,237,3.8,Oil & Gas Exploration & Production,3.6,75,3.5
John McAdam,3.6,F5 Networks,None,4.3,70,485,4,95,9222,4,Computer Hardware & Software,3.6,81,4
Mark Zuckerberg,4.2,Facebook,None,4.5,1325,1686,4.5,98,40772,4.5,Internet,4.3,92,3.8
Daniel Florness,2.8,Fastenal,None,2.5,89,1486,3.2,70,1391,3.1,"Department, Clothing, & Shoe Stores",3.2,58,3.3
Fred Smith,3.2,FedEx,None,3.6,1314,2569,3.6,89,246,3.8,Express Delivery Services,3.4,75,3.5
Greg D. Carmichael,2.9,Fifth Third,None,3.4,68,1222,3.3,68,1395,3.4,Investment Banking & Asset Management,3.3,61,3.5
James A. Hughes,3.2,First Solar,None,3.7,65,165,3.4,68,41703,3.5,Electrical & Electronic Manufacturing,3.1,63,3.4
Chuck Jones,3.1,FirstEnergy,None,3.8,7,212,3.2,63,493,3.4,Utilities,3.5,66,3.2
Gary Norcross,2.7,FIS,None,3.1,304,1336,3,73,313114,3.1,Enterprise Software & Network Solutions,2.9,59,3.1
Jeffery Yabuki,2.7,Fiserv,None,3.1,890,1704,3.1,75,1384,3.2,Financial Transaction Processing,3.1,63,3.4
Andrew C. Teich,2.8,FLIR,None,3.5,15,74,3.1,76,2559,3.3,Electrical & Electronic Manufacturing,2.7,52,3
Mark Blinn,2.5,Flowserve,None,3.2,140,344,2.9,45,1350,3,Industrial Manufacturing,2.6,58,3.1
David T. Seaton,3.2,Fluor,None,3.7,382,958,3.6,82,262,3.8,Construction,3.4,75,3.4
Pierre Brondeau,2.7,FMC,None,3.8,65,149,3.1,47,239,3.1,Chemical Manufacturing,3,56,3.2
John T. Gremp,2.6,FMC Technologies,None,3.5,283,580,3.3,83,13228,3.2,Industrial Manufacturing,2.9,59,3.3
Mark Fields,3.4,Ford Motor Company,None,3.8,515,1955,3.8,92,263,4,Transportation Equipment Manufacturing,3.6,81,3.6
Kosta N. Kartsotis,2.9,Fossil,None,3,258,719,3.8,79,2319,3.5,Beauty & Personal Accessories Stores,2.9,64,3.5
Gregory E. Johnson,3.3,Franklin Templeton Investments,None,3.5,227,534,3.9,97,240744,3.7,Investment Banking & Asset Management,3,79,4.1
Richard C. Adkerson,3.5,Freeport-McMoRan Copper & Gold,None,4.2,128,290,3.8,70,266,3.9,Mining,3.7,77,3.4
Dan McCarthy,2.7,Frontier Communications,None,3.4,114,903,3,67,131305,3,"Cable, Internet & Telephone Providers",3,54,2.9
J. Paul Raines,2.8,GameStop,None,2.6,1177,2758,3.1,66,1162,3.1,Toy & Hobby Stores,2.8,49,2.9
Art Peck,3.1,Gap,None,3.3,474,3482,3.8,80,114118,3.6,"Department, Clothing, & Shoe Stores",3.1,69,3.4
Clifton Pemble,3.4,Garmin,None,3.6,197,487,3.9,87,12667,3.7,Consumer Products Manufacturing,3.1,72,3.9
Jeffrey R. Immelt,3.4,GE,None,3.6,2074,5439,3.8,88,277,3.8,Enterprise Software & Network Solutions,3.7,81,3.5
Phebe N. Novakovic,2.6,General Dynamics,None,3.4,75,370,2.9,61,276,3.1,Aerospace & Defense,2.8,49,3.2
Sandeep Mathrani,2.7,General Growth Properties,None,3.3,41,164,3.1,45,2317,3.2,Real Estate,2.9,50,3.8
Ken Powell,3,General Mills,None,3.7,727,1249,3.7,72,278,3.5,Food & Beverage Manufacturing,3.2,70,3.7
Mary Barra,3.1,General Motors,None,3.8,662,2123,3.4,91,279,3.7,Transportation Equipment Manufacturing,3.4,72,3.5
Tom Gallagher,2.6,Genuine Parts,None,3.3,37,97,2.7,67,282,3.1,Logistics & Supply Chain,2.7,53,3
Thomas McInerney,2.6,Genworth,None,3.4,145,463,3.2,46,34925,3.2,Insurance Carriers,2.6,47,3.5
John Milligan,2.7,Gilead Sciences,None,3.5,24,461,3,80,2016,3.1,Biotech & Pharmaceuticals,2.9,58,2.3
Lloyd C. Blankfein,3.4,Goldman Sachs,None,3.8,2066,3601,3.8,93,2800,3.8,Investment Banking & Asset Management,3.9,77,2.7
Richard J. (Rich) Kramer,2.7,Goodyear,None,3.5,230,567,2.9,78,292,3.2,Industrial Manufacturing,3.1,61,2.8
Sundar Pichai,3.9,Google,None,4.4,771,5897,4.4,98,9079,4.4,Internet,4.1,91,4.1
William C. Cobb,3.1,H&R Block,None,2.6,628,2096,3.5,75,303,3.5,Other Retail Stores,3.1,69,3.6
Dave Lesar,2.7,Halliburton,None,3.6,853,1971,3.1,62,307,3.4,Oil & Gas Services,3.2,65,2.8
Rich Noll,2.5,Hanesbrands,None,3.1,108,246,2.8,44,13758,2.9,Consumer Products Manufacturing,2.5,47,2.9
Matthew S. Levatich,2.8,Harley-Davidson,None,3.4,76,447,3.4,73,314,3.2,Transportation Equipment Manufacturing,2.9,55,3
Dinesh C. Paliwal,2.9,HARMAN,None,3.1,222,452,3.1,75,315,3.3,Consumer Products Manufacturing,3.2,64,3.3
Bill Brown,2.4,Harris,None,2.8,430,1176,2.9,26,317,2.9,Aerospace & Defense,2.8,48,3.2
Brian Goldner,3.5,Hasbro,None,3.5,43,299,4.1,89,890,3.7,Consumer Products Manufacturing,3.2,80,3.8
Stanley M. Bergman,3.1,Henry Schein,None,3.2,170,308,3.6,71,5319,3.4,Wholesale,3,58,3.6
John B. Hess,3.5,Hess Corporation,None,4.2,148,264,4,90,30,4,Oil & Gas Exploration & Production,3.5,80,3.7
Meg Whitman,2.8,Hewlett-Packard,None,3.1,5819,15602,3.4,68,327,3.3,Computer Hardware & Software,3,61,3.6
David M. Cote,2.5,Honeywell,None,2.8,1621,3923,2.9,56,28,3.1,Electrical & Electronic Manufacturing,2.9,51,3
James P. Snee,3.7,Hormel,None,3.8,0,156,3.6,0,877,3.7,Food & Beverage Manufacturing,3.7,73,2.9
F. Michael (Mike) Ball,2.6,Hospira,None,3.4,180,470,2.8,68,35009,3.1,Biotech & Pharmaceuticals,2.7,56,2.9
R. Milton Johnson,3,Hospital Corporation of America,None,3.3,271,970,3.3,76,2062,3.4,Health Care Services & Hospitals,3.4,66,3.3
Bruce  D. Broussard,3,Humana,None,3.5,715,1963,3.6,79,340,3.5,Insurance Carriers,3.3,69,3.4
Steve Steinour,2.9,Huntington National Bank,None,3.3,303,635,3.5,80,1496,3.3,Banks & Credit Unions,3.2,59,3.1
Virginia Rometty,2.8,IBM,None,3,8482,25187,3.3,57,354,3.4,Consulting,3.3,60,3.5
E. Scott Santi,2.8,Illinois Tool Works,None,3.3,84,280,3.2,61,348,3.2,Industrial Manufacturing,2.9,52,3.3
Michael W. Lamach,3.2,Ingersoll Rand,None,3.6,296,697,3.6,93,349,3.6,Industrial Manufacturing,3.4,78,3.6
Brian M. Krzanich,2.9,Intel Corporation,None,3.9,2777,8169,3.6,58,1519,3.7,Computer Hardware & Software,3.5,71,3.6
Jeffrey C. Sprecher,2.9,Intercontinental Exchange,None,3.6,75,134,2.7,71,13785,3.2,Investment Banking & Asset Management,2.7,54,2.5
Andreas Fibig,2.7,International Flavors & Fragrances,None,3.5,24,121,3.2,79,355,3.2,Chemical Manufacturing,2.7,68,3.3
Mark S. Sutton,3.2,International Paper,None,3.8,29,511,3.5,95,356,3.5,Industrial Manufacturing,3.6,67,3
Michael I. Roth,3.5,Interpublic Group,None,3.3,56,116,3.9,97,358,3.7,Advertising & Marketing,3.1,90,3.8
Brad Smith,3.6,Intuit,None,4.3,1460,2735,4.2,95,2293,4,Computer Hardware & Software,3.5,81,4.1
Gary S. Guthart,3.7,Intuitive Surgical,None,4,94,165,4,91,8090,4,Health Care Products Manufacturing,3.8,82,3.5
Marty Flanagan,3.1,Invesco,None,3.4,158,370,3.5,84,4518,3.4,Investment Banking & Asset Management,3,67,3.7
William Meaney,2.5,Iron Mountain Inc,None,3.2,208,724,3,58,6774,3,IT Services,2.6,49,3.4
John N. Roberts III,3,J.B. Hunt,None,3,352,679,3.3,83,1540,3.2,Logistics & Supply Chain,3.3,60,2.7
