"","id","company","industry","ceo2015","ceo2016","ceo_comp","median_comp","ratio","numberOfRatings","ceoratings","overall_2014","overall","culturevalues","wlb","careerops","comp","srleadership","ceopctApprove","rectofriend","profits","size","ceo.match"
"18",17,"Air Products","Chemical Manufacturing","Seifi Ghasemi","Seifi Ghasemi",10189713,89015,114,442,104,3.5,3.4,3.2,3.6,3.1,3.6,2.8,47,54,1278,19400,"match"
"20",9219,"Akamai","IT Services","F. Thomson Leighton","Tom Leighton",7499987,129603,58,744,445,4,4,4,3.9,3.6,4,3.6,95,81,321,6084,"match"
"21",29,"Alcoa","Metal & Mineral Manufacturing","Klaus-Christian Kleinfeld","Klaus Kleinfeld",18158522,70158,259,529,238,3.2,3.1,3,3,2.9,3.6,2.4,54,47,-322,60000,"match"
"23",11421,"Alliance Data","Advertising & Marketing","Edward J. Heffernan","Ed Heffernan",8727450,60601,144,329,189,3.4,3.6,3.8,3.6,3.5,3.9,3.4,96,70,552,16000,"match"
"24",2341,"Allstate","Insurance Carriers","Thomas J. Wilson","Thomas J. Wilson II",15641385,56155,279,2778,1167,3.4,3.4,3.5,3.5,3.2,3.2,3,73,63,2171,41100,"match"
"25",1112,"Altera","Electrical & Electronic Manufacturing","John P. Daane","John P. Daane",7248710,141035,51,438,241,3.4,3.4,3.5,3.5,3.3,3.6,3.1,73,67,473,3091,"match"
"26",528,"Altria","Consumer Products Manufacturing","Martin J. Barrington","Martin J. Barrington",12320990,79572,155,588,257,3.7,3.8,3.8,3.9,3.4,4.5,3.5,92,74,5241,8800,"match"
"27",6036,"Amazon.com","General Merchandise & Superstores","Jeffrey P. Bezos","Jeff Bezos",1681840,114352,15,10789,5836,3.4,3.5,3.3,2.8,3.5,3.6,3,81,65,596,230800,"match"
"28",690,"Ameren","Utilities","Warner L. Baxter, CPA","Warner L. Baxter",4958397,74000,67,121,50,3.7,3.8,3.7,4,3.6,4.4,3.5,79,82,630,8527,"match"
"29",8,"American Airlines","Airlines","W. Douglas Parker","Doug Parker",12301976,54800,224,1508,409,3.4,3.6,3.3,3.3,3.5,3.3,2.9,68,72,700,118500,"match"
"30",35,"American Express","Financial Transaction Processing","K.I. Chenault","Ken Chenault",22796083,108598,210,4220,2633,3.7,3.6,3.7,3.8,3.3,3.6,3.2,84,74,5163,54800,"match"
"31",8043,"American Tower","Telecommunications Services","James D. Taiclet, Jr.","Jim Taiclet Jr.",12704773,67879,187,233,119,3,3.2,3.1,3.2,2.8,3.4,2.8,92,53,685,3371,"match"
"32",15316,"Ameriprise","Investment Banking & Asset Management","James M. Cracchiolo","Jim Cracchiolo",24455192,58902,415,1061,548,3.4,3.5,3.6,3.5,3.3,3.3,3.3,85,71,1562,13000,"match"
"33",2703,"AmerisourceBergen","Biotech & Pharmaceuticals","Steven H. Collis","Steven Collis",9902985,59462,167,538,213,3.2,3.2,3.2,3.1,3,3.6,2.7,72,60,-135,16500,"match"
"35",1130,"Amgen","Biotech & Pharmaceuticals","Robert A. Bradway","Robert A. Bradway",13961667,121202,115,1241,439,3.5,3.5,3.3,3.4,3,3.9,2.8,59,64,6939,17900,"match"
"36",48,"Anadarko Petroleum","Oil & Gas Exploration & Production","R. A. Walker","R. A. Walker",20720187,110626,187,265,127,4.4,3.9,3.7,4.1,3.3,4.5,3.4,77,74,-6692,5800,"match"
"37",49,"Analog Devices","Electrical & Electronic Manufacturing","Vincent T. Roche","Vincent Roche",6090567,103127,59,440,105,3.7,3.7,3.8,4.1,3.4,3.4,3.3,86,85,697,9700,"match"
"38",925157,"Anthem","Insurance Carriers","Joseph R. Swedish","Joseph R. Swedish",13532549,74000,183,519,228,3.4,3.3,3.2,3.2,3,3.5,2.7,73,60,2560,53000,"match"
"39",53,"Aon","Insurance Agencies & Brokerages","Gregory C. Case","Greg Case",13991640,70127,200,1061,464,3.4,3.4,3.4,3.4,3.2,3.2,3.1,85,66,NA,NA,"match"
"41",1138,"Apple","Computer Hardware & Software","Timothy D. Cook","Tim Cook",9222638,36760,251,8871,5216,4,4,4.1,3.3,3.4,4.1,3.5,95,80,53394,110000,"match"
"42",1139,"Applied Materials","Electrical & Electronic Manufacturing","Gary E. Dickerson","Gary Dickerson",16425005,117550,140,981,210,3.5,3.5,3.5,3.3,3.2,3.6,3,83,73,1377,14600,"match"
"44",613,"AT&T","Telecommunications Services","Randall L. Stephenson","Randall L. Stephenson",23984315,67302,356,13225,5912,3.3,3.4,3.2,2.9,3.2,3.8,2.9,72,62,13345,280870,"match"
"45",1155,"Autodesk","Computer Hardware & Software","Carl Bass","Carl Bass",8297290,130149,64,1121,633,3.9,3.9,4,4,3.4,4,3.4,90,80,-331,9500,"match"
"46",2593,"AutoNation","Vehicle Dealers","Mike Jackson","Mike Jackson",10606596,52103,204,573,292,3.2,2.7,2.6,2.3,2.7,2.6,2.5,58,39,443,26000,"match"
"47",610,"AutoZone","Automotive Parts & Accessories Stores","William C. Rhodes, III","Bill Rhodes III",5320741,24900,214,1589,779,2.9,3.1,3.2,2.7,2.9,2.7,2.6,69,51,1160,46980,"match"
"48",40386,"Avago Technologies","Electrical & Electronic Manufacturing","Hock E. Tan","Hock E. Tan",17202596,122285,141,254,136,2.5,2.9,2.5,2.8,2.7,3.5,2.5,53,48,1364,NA,"match"
"49",2616,"AvalonBay","Real Estate","Tim Naughton","Timothy J. Naughton",7427676,54491,136,241,133,4,3.8,3.9,3.7,3.6,3.4,3.4,86,76,742,2981,"match"
"51",72,"Baker Hughes","Oil & Gas Services","Martin S. Craighead","Martin Craighead",14709830,86844,169,1784,709,3.5,3.5,3.4,3.1,3.2,3.8,2.7,58,62,-1967,39000,"match"
"52",8874,"Bank of America","Banks & Credit Unions","Brian T. Moynihan","Brian T. Moynihan",15342399,52923,290,14376,5749,3.3,3.4,3.3,3.3,3.3,3.6,2.9,75,63,15888,213000,"match"
"53",116,"Bard","Health Care Products Manufacturing","Timothy M. Ring","Timothy M. Ring",10840935,82638,131,113,37,3.6,3.2,3.1,3.2,3,3.5,2.8,84,55,135,14900,"match"
"55",1893,"BB&T","Investment Banking & Asset Management","Kelly S. King","Kelly S. King",14118763,45002,314,1091,626,3.2,3.3,3.7,3.4,3,3.6,3,85,66,2084,37200,"match"
"56",88,"BD","Health Care Products Manufacturing","Vincent A. Forlenza, BD","Vincent A. Forlenza",10983518,95000,116,867,255,3.2,3.3,3.6,3.2,3.1,3.4,3,79,66,695,49517,"match"
"57",1961,"Bed Bath & Beyond","Home Furniture & Housewares Stores","Steven H. Temares","Steve Temares",19116040,26047,734,1964,669,2.9,3,3,2.8,2.6,2.7,2.6,49,46,841,62000,"match"
"58",97,"Best Buy","Consumer Electronics & Appliances Stores","Hubert Joly","Hubert Joly",13881219,25160,552,12390,4752,3.4,3.6,3.7,3.3,3.3,3.3,3.2,86,76,897,125000,"match"
"59",1336,"Biogen Idec","Biotech & Pharmaceuticals","George A. Scangos","George A. Scangos",18631369,118325,157,617,299,3.7,3.4,3.5,3.4,3,4.1,2.8,82,63,3547,7350,"match"
"60",9331,"BlackRock","Investment Banking & Asset Management","Laurence D. Fink","Laurence D. Fink",23862458,124361,192,1305,805,3.6,3.6,3.8,3.4,3.5,3.3,3.5,89,75,3345,13000,"match"
"61",78,"BNY Mellon","Investment Banking & Asset Management","Gerald L. Hassell","Gerald Hassell",11659528,56500,206,2688,910,2.8,3,3,3.5,2.7,2.8,2.6,64,54,3158,52100,"match"
"63",1652,"BorgWarner","Transportation Equipment Manufacturing","James R. Verrier","James R. Verrier",10005230,70015,143,213,45,3.7,3.7,3.6,3.4,3.3,3.6,3.3,83,77,610,30000,"match"
"64",2187,"Boston Scientific","Health Care Products Manufacturing","Michael F. Mahoney","Michael F. Mahoney",10527884,95860,110,883,293,3.6,3.8,3.7,3.5,3.4,3.8,3.4,96,77,-239,25000,"match"
"66",6926,"Broadcom","Electrical & Electronic Manufacturing","Scott A. McGregor","Scott McGregor",16451411,145084,113,1751,782,3.5,3.5,3.2,3.4,3.2,3.7,2.9,52,64,652,10650,"match"
"67",797,"Brown-Forman","Food & Beverage Manufacturing","Paul C. Varga","Paul C. Varga",12259150,96468,127,141,77,4.2,4.1,4.2,3.9,3.3,4.2,3.8,96,83,1067,4600,"match"
"68",7124,"C.H. Robinson Worldwide","Logistics & Supply Chain","John P. Wiehoff","John P. Wiehoff",5029488,46634,108,779,387,3.1,3.2,3.3,2.9,2.9,3,2.9,84,56,510,13159,"match"
"69",167,"CA Technologies","Computer Hardware & Software","Michael P. Gregoire","Michael P. Gregoire",8344222,122520,68,1935,747,3.2,3.2,3.3,3.7,3,3.7,2.7,73,55,783,11000,"match"
"72",129,"Campbell Soup Company","Food & Beverage Manufacturing","Denise M. Morrison","Denise Morrison",9687089,102495,95,307,142,3.4,3.5,3.6,3.6,3.4,3.9,3.3,77,76,691,18600,"match"
"73",3736,"Capital One","Banks & Credit Unions","Richard D. Fairbank","Richard D. Fairbank",19606474,83117,236,3988,2049,3.6,3.8,4,3.9,3.5,3.9,3.3,92,76,4050,45800,"match"
"74",1227,"Cardinal Health","Wholesale","George S. Barrett","George S. Barrett",12448618,67360,185,1115,533,3.4,3.5,3.6,3.4,3.3,3.4,3.2,90,69,1215,34500,"match"
"77",137,"Caterpillar","Industrial Manufacturing","Douglas R. Oberhelman","Douglas R. Oberhelman",17131448,86844,197,2152,1049,3.6,3.3,3.3,3.5,3.1,3.7,2.6,36,54,2102,105700,"match"
"78",465818,"CBRE","Real Estate","Robert E. Sulentic","Robert E. Sulentic",6367953,63012,101,1568,483,3.7,3.7,3.7,3.5,3.6,3.3,3.4,94,75,547,70000,"match"
"79",1053,"CBS Corp","Motion Picture Production & Distribution","Leslie Moonves","Les Moonves",57175645,66365,862,90,40,3.5,3.3,3.3,3.3,2.8,3.3,3,90,58,1413,16260,"match"
"81",338,"CenterPoint Energy","Energy","Scott M. Prochazka","Scott M. Prochazka",4897291,68000,72,173,30,3.7,4,3.9,3.8,3.4,3.8,3.4,97,88,-692,7505,"match"
"82",248324,"CenturyLink","Cable, Internet & Telephone Providers","Glen F. Post, III","Glen F. Post, III",13131448,74615,176,2014,763,2.9,3,3,3.2,2.8,3.2,2.5,60,51,878,43000,"match"
"83",1242,"Cerner","Computer Hardware & Software","Neal L. Patterson","Neal L. Patterson",6599410,65000,102,1822,973,3.6,3.5,3.5,3.1,3.5,3.2,3.2,84,70,539,22200,"match"
"84",144,"Charles Schwab","Investment Banking & Asset Management","Walter W. Bettinger II","Walt Bettinger II",11841179,71619,165,1540,870,3.4,3.5,3.8,3.7,3.3,3.3,3.2,87,65,1447,15600,"match"
"85",906,"Chesapeake Energy","Oil & Gas Exploration & Production","Robert D. Lawler","Robert D. Lawler",14677377,82297,178,278,121,3.7,3.7,3.5,3.8,3.3,4.4,3.2,77,69,-14685,4400,"match"
"86",13524,"Chevron","Oil & Gas Exploration & Production","J.S. Watson","John S. Watson",25970417,110000,236,1675,763,4.1,3.9,3.9,4,3.6,4.1,3.3,85,83,4587,61500,"match"
"88",150,"Chubb Corp","Insurance Carriers","John D. Finnegan","John D. Finnegan",17841294,74805,239,494,213,3.8,3.4,3.3,3.5,3,3.4,3,39,59,2834,22000,"match"
"89",119,"Cigna","Insurance Carriers","David M. Cordani","David Cordani",14461445,66365,218,1293,609,3.3,3.5,3.5,3.5,3.3,3.4,3.1,88,68,2094,39300,"match"
"90",1256,"Cintas","Building & Personnel Services","Scott D. Farmer","Scott D. Farmer",4700884,52222,90,1489,776,3.3,3.3,3.4,3,3.3,3.5,2.9,80,60,431,32000,"match"
"92",8843,"Citi","Investment Banking & Asset Management","Michael L. Corbat","Michael Corbat",14457199,99666,145,6100,1709,3.3,3.4,3.3,3.3,3.3,3.3,3,85,68,17242,225000,"match"
"95",7796,"CME Group","Brokerage Services","Phupinder S. Gill","Phupinder Gill",5368575,105163,51,447,175,3.5,3.5,3.2,3.6,3.2,3.7,3,79,57,1247,2530,"match"
"96",12070,"Coach","Other Retail Stores","Victor Luis","Victor Luis",6679113,34771,192,1071,248,3.6,3.5,3.5,3.2,3,3.5,3,83,67,402,15800,"match"
"97",161,"Coca-Cola Company","Food & Beverage Manufacturing","Muhtar Kent","Muhtar Kent",25224422,54804,460,3127,1054,3.3,3.4,3.3,3.1,3.1,3.5,2.8,71,64,7351,123200,"match"
"98",36955,"Coca-Cola Enterprises, Inc.","Wholesale","John Franklin Brock, III","John F. Brock",11267498,49008,230,346,75,3.1,3.3,3.2,3,3,3.4,2.7,63,54,7351,123200,"match"
"99",8014,"Cognizant Technology Solutions","IT Services","Frank D'Souza","Frank D'Souza",11333063,85000,133,13917,8299,3.5,3.6,3.6,3.4,3.5,3.2,3,94,79,1624,221700,"match"
"100",162,"Colgate-Palmolive","Consumer Products Manufacturing","Ian Cook","Ian M. Cook",14531582,105472,138,600,320,3.8,3.8,4,3.8,3.5,3.8,3.5,92,84,1384,37900,"match"
"101",1280,"Comcast","Cable, Internet & Telephone Providers","Brian L. Roberts","Brian L. Roberts",32961056,59745,552,5207,2465,3.2,3.4,3.3,3.3,3.4,3.7,3,80,66,8163,153000,"match"
"102",1281,"Comerica","Investment Banking & Asset Management","Ralph W. Babb, Jr.","Ralph W. Babb Jr.",11311926,51025,222,494,184,3.3,3.3,3.3,3.8,3,3.3,2.8,56,60,521,8533,"match"
"103",169,"Computer Sciences Corp","IT Services","J. Michael Lawrie","Mike Lawrie",13267195,87476,152,5413,2019,2.6,2.7,2.6,3.1,2.5,2.6,2.2,39,38,251,59000,"match"
"104",174,"Con Edison","Energy","John McAvoy","John McAvoy",9685688,97700,99,69,21,2.9,3.5,3.1,3.2,3.8,3.8,3.2,87,64,1193,14806,"match"
"106",14933,"ConocoPhillips","Oil & Gas Exploration & Production","R.M. Lance","Ryan M. Lance",27575900,103296,267,723,259,3.8,3.6,3.6,3.8,3.2,4.2,3,68,71,-4428,15600,"match"
"107",2751,"CONSOL Energy","Energy","Nicholas J. DeIuliis","Nicholas J. DeIuliis",8326097,78004,107,133,45,2.5,2.9,2.8,3,2.2,3.3,2.4,33,36,-375,3114,"match"
"108",805,"Constellation Brands","Food & Beverage Manufacturing","Robert Sands","Rob Sands",10410261,100530,104,131,63,3.6,3.4,3.5,3.3,2.9,3.8,3.2,79,64,1055,9000,"match"
"109",183,"Corning","Electrical & Electronic Manufacturing","Wendell P. Weeks","Wendell P. Weeks",13034461,85882,152,453,238,3.8,3.7,3.8,3.5,3.5,3.7,3.3,83,77,1339,35700,"match"
"110",2590,"Costco Wholesale","General Merchandise & Superstores","W. Craig Jelinek","Craig Jelinek",5622927,30555,184,3201,1446,3.9,4,3.9,3.5,3.7,4.2,3.4,90,81,2377,117000,"match"
"112",124,"CSX","Transportation Management","Michael J. Ward","Michael J. Ward",10068089,66161,152,422,209,3.5,3.2,2.9,2.3,3.1,4.1,2.7,68,58,1968,29000,"match"
"113",187,"Cummins","Transportation Equipment Manufacturing","N. T. Linebarger","Tom Linebarger",14784555,79442,186,1552,813,3.9,3.7,4.1,3.9,3.7,3.5,3.4,84,79,1399,55200,"match"
"114",437,"CVS Health","Health Care Services & Hospitals","Larry J. Merlo","Larry J. Merlo",32350733,27139,1192,8894,3092,2.7,2.7,2.7,2.5,2.8,2.7,2.4,38,36,5237,155000,"match"
"118",5367,"DaVita","Health Care Services & Hospitals","Kent J. Thiry","Kent J. Thiry",13791023,61000,226,1436,777,3.1,3.3,3.7,3.1,3.3,3,2.9,78,60,270,60400,"match"
"122",839,"Devon Energy","Oil & Gas Exploration & Production","John Richels","John Richels",21611030,82905,261,269,155,3.8,3.9,3.9,4.2,3.5,4.6,3.5,87,77,-14454,6600,"match"
"123",13990,"Discover","Lending","David W. Nelms","David W. Nelms",8671740,77596,112,1192,586,3.7,3.7,3.9,3.8,3.5,3.6,3.4,93,76,2297,15036,"match"
"124",4220,"Discovery Communications","TV Broadcast & Cable Networks","David M. Zaslav","David M. Zaslav",156077912,80000,1951,638,328,3.8,3.5,3.7,3.6,3.1,3.6,3,61,65,1034,7000,"match"
"126",4033,"Dollar Tree","","Bob Sasser","Bob Sasser",7814488,22890,341,1788,663,2.8,2.8,2.5,2.6,2.7,2.2,2.4,44,42,282,55300,"match"
"127",204,"Dominion Resources","Energy","Thomas F. Farrell, II","Thomas F. Farrell II",20612945,85943,240,133,77,3.8,3.7,3.8,3.9,3.6,4,3.6,78,90,1899,14700,"match"
"128",207,"Dow Chemical","Chemical Manufacturing","Andrew Liveris","Andrew N. Liveris",19507233,96614,202,1084,555,3.7,3.7,3.6,3.5,3.5,3.7,3.1,53,74,7685,49495,"match"
"129",13335,"Dr Pepper Snapple Group","Food & Beverage Manufacturing","Larry D. Young","Larry D. Young",9671181,50867,190,449,186,3.1,3.1,2.8,2.8,2.9,3.1,2.6,68,50,764,19000,"match"
"130",199,"DTE Energy","Utilities","Gerard M. Anderson","Gerard M. Anderson",12604355,80103,157,262,132,3.9,3.8,3.7,3.8,3.5,4.1,3.4,93,76,727,10000,"match"
"131",211,"Duke Energy","Energy","Lynn J. Good","Lynn J. Good",8305351,78259,106,499,169,3.6,3.5,3.4,3.5,3.4,3.8,3,83,72,2816,29188,"match"
"132",213,"Dun & Bradstreet","Financial Analytics & Research","Robert P. Carrigan","Robert Carrigan",4198663,114440,37,631,166,3.4,3.1,3.2,3.6,2.8,3.3,2.9,74,46,169,5000,"match"
"134",6005,"E*TRADE Financial","Brokerage Services","Paul T. Idzik","Paul T. Idzik",5258458,70561,75,587,192,2.9,3,2.8,3.1,2.7,3.2,2.6,67,46,268,3400,"match"
"135",2452,"Eastman Chemical","Chemical Manufacturing","Mark J. Costa","Mark J. Costa",7851406,83722,94,1241,518,4.5,4.1,4.2,4,3.9,3.9,3.8,87,85,848,15000,"match"
"138",222,"Ecolab","Chemical Manufacturing","Douglas M. Baker, Jr.","Doug Baker Jr.",15456822,62208,248,830,475,3.3,3.2,3.3,2.7,3.1,3.3,2.9,78,59,1002,47000,"match"
"139",11809,"Edwards Lifesciences","Health Care Products Manufacturing","Michael A. Mussallem","Michael A. Mussallem",8616570,95528,90,278,172,3.1,3.6,3.4,2.9,3.2,3.7,2.9,98,69,495,9800,"match"
"140",1628,"Electronic Arts","Video Games","ANDREW WILSON","Andrew Wilson",13975381,100937,138,1436,355,3.6,3.9,3.8,3.7,3.4,3.7,3.4,95,83,1156,8500,"match"
"141",223,"Eli Lilly","Biotech & Pharmaceuticals","John C. Lechleiter, Ph.D.","John C. Lechleiter",14481142,104142,139,980,574,3.8,3.9,4,4,3.5,3.9,3.5,86,83,440,41275,"match"
"143",225,"Emerson","Electrical & Electronic Manufacturing","David N. Farr","David N. Farr",9509258,79211,120,1641,410,3.5,3.5,3.5,3.6,3.2,3.2,3.1,83,70,2710,110800,"match"
"145",231,"Entergy","Energy","Leo P. Denault","Leo Denault",11824034,77991,152,110,22,3.2,3.8,3.5,3.5,3.3,3.7,2.9,69,74,-157,13579,"match"
"146",1467,"EOG","Oil & Gas Exploration & Production","William R. Thomas","William R. Thomas",10548457,95924,110,91,22,3.7,3.6,3.7,3.6,3.1,3.7,3.6,89,67,4525,2760,"match"
"147",232,"Equifax","Financial Analytics & Research","Richard F. Smith","Rick Smith",13879675,90324,154,540,282,3.5,3.3,3.2,3.6,3.1,3.2,3.1,90,63,429,8000,"match"
"148",11296,"Equinix","Enterprise Software & Network Solutions","Stephen Smith","Stephen M. Smith",11513031,145084,79,261,177,3.6,4,3.9,3.5,3.6,4.1,3.8,96,80,188,5042,"match"
"149",3635,"Equity Residential","Real Estate","David J. Neithercut","David J. Neithercut",8139683,58646,139,324,199,3.5,3.7,3.8,3.3,3.7,3.7,3.3,85,73,870,3500,"match"
"150",3630,"Essex Property Trust","Real Estate","Michael J. Schall","Michael Schall",2764573,60000,46,113,48,2.9,2.5,2.6,2.7,3,2.6,2.7,63,44,232,1806,"match"
"151",2785,"Estee Lauder Companies","Consumer Products Manufacturing","Fabrizio Freda","Fabrizio Freda",15562714,74615,209,739,357,3.4,3.7,3.8,3.4,3.2,3.5,3.2,94,73,1089,44000,"match"
"152",526,"Exelon","Energy","Christopher M. Crane","Christopher M. Crane",14990830,92391,162,419,163,3.9,3.9,3.9,3.6,3.9,4.2,3.7,87,79,2269,29762,"match"
"153",9876,"Expedia","Internet","Dara Khosrowshahi","Dara Khosrowshahi",9642406,108555,89,1840,1189,4.1,3.9,4,4.1,3.7,3.9,3.6,97,79,764,18730,"match"
"154",1381,"Expeditors","Logistics & Supply Chain","Jeffrey S. Musser","Jeffrey S. Musser",5080036,55092,92,580,136,3.3,3.3,3.4,3,3.3,3.1,3,91,57,457,15397,"match"
"156",237,"ExxonMobil","Oil & Gas Exploration & Production","R.W. Tillerson","Rex W. Tillerson",33096312,108000,306,1574,552,3.7,3.8,3.6,3.5,3.6,4.1,3.3,87,75,16150,73500,"match"
"157",9222,"F5 Networks","Computer Hardware & Software","John McAdam","John McAdam",8143742,138403,59,485,70,4.2,4,4,4,3.6,4.3,3.6,95,81,365,4178,"match"
"158",40772,"Facebook","Internet","Mark Zuckerberg","Mark Zuckerberg",610455,146120,4,1686,1325,4.4,4.5,4.5,3.8,4.3,4.5,4.2,98,92,3688,13598,"match"
"160",246,"FedEx","Express Delivery Services","Frederick W. Smith","Fred Smith",14151977,59020,240,2569,1314,3.8,3.8,3.6,3.5,3.4,3.6,3.2,89,75,1820,114000,"match"
"162",41703,"First Solar","Electrical & Electronic Manufacturing","James A. Hughes","James A. Hughes",3776136,102693,37,165,65,3.8,3.5,3.4,3.4,3.1,3.7,3.2,68,63,547,6350,"match"
"165",1384,"Fiserv","Financial Transaction Processing","Jeffery W.Yabuki","Jeffery Yabuki",8275917,76575,108,1704,890,2.9,3.2,3.1,3.4,3.1,3.1,2.7,75,63,712,22000,"match"
"166",2559,"FLIR","Electrical & Electronic Manufacturing","Andrew C. Teich","Andrew C. Teich",4616007,94063,49,74,15,3.7,3.3,3.1,3,2.7,3.5,2.8,76,52,242,3003,"match"
"167",1350,"Flowserve","Industrial Manufacturing","Mark A. Blinn","Mark Blinn",7660592,74235,103,344,140,3.2,3,2.9,3.1,2.6,3.2,2.5,45,58,268,19000,"match"
"168",262,"Fluor","Construction","David T. Seaton","David T. Seaton",12011493,86339,139,958,382,3.8,3.8,3.6,3.4,3.4,3.7,3.2,82,75,413,38758,"match"
"169",239,"FMC","Chemical Manufacturing","Pierre R. Brondeau","Pierre Brondeau",5117145,89500,57,149,65,2.8,3.1,3.1,3.2,3,3.8,2.7,47,56,489,6000,"match"
"170",13228,"FMC Technologies","Industrial Manufacturing","John T. Gremp","John T. Gremp",13892357,84149,165,580,283,3.2,3.2,3.3,3.3,2.9,3.5,2.6,83,59,393,17400,"match"
"171",263,"Ford Motor Company","Transportation Equipment Manufacturing","Mark Fields","Mark Fields",18596497,90050,207,1955,515,3.7,4,3.8,3.6,3.6,3.8,3.4,92,81,7373,199000,"match"
"172",2319,"Fossil","Beauty & Personal Accessories Stores","Kosta N. Kartsotis","Kosta N. Kartsotis",0,32570,0,719,258,3.4,3.5,3.8,3.5,2.9,3,2.9,79,64,221,15100,"match"
"173",240744,"Franklin Templeton Investments","Investment Banking & Asset Management","Gregory Eugene Johnson","Gregory E. Johnson",15904296,70449,226,534,227,3.8,3.7,3.9,4.1,3,3.5,3.3,97,79,2035,9200,"match"
"174",266,"Freeport-McMoRan Copper & Gold","Mining","Richard C. Adkerson","Richard C. Adkerson",10123035,74154,137,290,128,3.9,3.9,3.8,3.4,3.7,4.2,3.5,70,77,-12236,34500,"match"
"176",1162,"GameStop","Toy & Hobby Stores","J. Paul Raines","J. Paul Raines",8604576,24880,346,2758,1177,3.1,3.1,3.1,2.9,2.8,2.6,2.8,66,49,403,20000,"match"
"178",12667,"Garmin","Consumer Products Manufacturing","Clifton A. Pemble","Clifton Pemble",1716612,72491,24,487,197,3.8,3.7,3.9,3.9,3.1,3.6,3.4,87,72,456,11561,"match"
"179",277,"GE","Enterprise Software & Network Solutions","Jeffrey R. Immelt","Jeffrey R. Immelt",37250774,89186,418,5439,2074,3.8,3.8,3.8,3.5,3.7,3.6,3.4,88,81,-6133,333000,"match"
"180",276,"General Dynamics","Aerospace & Defense","Phebe N. Novakovic","Phebe N. Novakovic",19388084,86404,224,370,75,3.4,3.1,2.9,3.2,2.8,3.4,2.6,61,49,2965,99900,"match"
"181",2317,"General Growth Properties","Real Estate","Sandeep Lakhmi Mathrani","Sandeep Mathrani",4892039,76622,64,164,41,3.4,3.2,3.1,3.8,2.9,3.3,2.7,45,50,1375,1700,"match"
"182",278,"General Mills","Food & Beverage Manufacturing","Kendall J. Powell","Ken Powell",11604484,83273,139,1249,727,3.5,3.5,3.7,3.7,3.2,3.7,3,72,70,1221,42000,"match"
"183",279,"General Motors","Transportation Equipment Manufacturing","Mary T. Barra","Mary Barra",16162828,93165,173,2123,662,3.5,3.7,3.4,3.5,3.4,3.8,3.1,91,72,9687,215000,"match"
